Name,Substation,Description,สถานที่ติดตั้ง,สถานที่,การไฟฟ้า,ประเภทอุปกรณ์,ใช้งาน/ไม่ใช้งาน
HUC_S,HUA HIN 3,HUA HIN 3,สถานีไฟฟ้า,สถานีไฟฟ้าหัวหิน 3,กฟส.หัวหิน,CSCS/SCPS,ใช้งาน
HUU_S,HUA HIN 4,HUA HIN 4,สถานีไฟฟ้า,สถานีไฟฟ้าหัวหิน 4,กฟส.หัวหิน,CSCS/SCPS,ใช้งาน
KHY_S,KHAO YOI 1,KHAO YOI 1,สถานีไฟฟ้า,สถานีไฟฟ้าเขาย้อย 1,กฟส.เขาย้อย,CSCS/SCPS,ใช้งาน
KHZ_S,KHAO YOI 2,KHAO YOI 2,สถานีไฟฟ้า,สถานีไฟฟ้าเขาย้อย 2,กฟส.เขาย้อย,CSCS/SCPS,ใช้งาน
KUA_S,KUI BURI,KUI BURI,สถานีไฟฟ้า,สถานีไฟฟ้ากุยบุรี,กฟส.กุยบุรี,CSCS/SCPS,ใช้งาน
LSA_S,LANG SUAN,LANG SUAN,สถานีไฟฟ้า,สถานีไฟฟ้าหลังสวน,กฟส.หลังสวน,CSCS/SCPS,ใช้งาน
NOM_S,NONG PLA MO,NONG PLA MO,สถานีไฟฟ้า,สถานีไฟฟ้าหนองปลาหมอ,กฟส.บ้านโป่ง,CSCS/SCPS,ใช้งาน
PBA_S,PHETCHABURI 1,PHETCHABURI 1,สถานีไฟฟ้า,สถานีไฟฟ้าเพชรบุรี 1,กฟส.เพชรบุรี,CSCS/SCPS,ใช้งาน
PBB_S,PHETCHABURI 2,PHETCHABURI 2,สถานีไฟฟ้า,สถานีไฟฟ้าเพชรบุรี 2,กฟส.เพชรบุรี,CSCS/SCPS,ใช้งาน
PDA_S,PRACHUAP KHIRI KHAN,PRACHUAP KHIRI KHAN,สถานีไฟฟ้า,สถานีไฟฟ้าประจวบคีรีขันธ์,กฟส.ประจวบคีรีขันธ์,CSCS/SCPS,ใช้งาน
PNA_S,PRAN BURI,PRAN BURI,สถานีไฟฟ้า,สถานีไฟฟ้าปราณบุรี,กฟส.ปราณบุรี,CSCS/SCPS,ใช้งาน
PTH_S,PAK THO 1,PAKTHO 1,สถานีไฟฟ้า,สถานีไฟฟ้าปากท่อ 1,กฟส.ปากท่อ,CSCS/SCPS,ใช้งาน
PTI_S,PAK THO 2,PAKTHO 2,สถานีไฟฟ้า,สถานีไฟฟ้าปากท่อ 2,กฟส.ปากท่อ,CSCS/SCPS,ใช้งาน
PTR_S,PHOTHARAM 1,PHOTHARAM 1,สถานีไฟฟ้า,สถานีไฟฟ้าโพธาราม 1,กฟส.โพธาราม,CSCS/SCPS,ใช้งาน
PTS_S,PHOTHARAM 2,PHOTHARAM 2,สถานีไฟฟ้า,สถานีไฟฟ้าโพธาราม 2,กฟส.โพธาราม,CSCS/SCPS,ใช้งาน
QTA_S,PATHIO,PATHIO,สถานีไฟฟ้า,สถานีไฟฟ้าปะทิว,กฟส.ปะทิว,CSCS/SCPS,ใช้งาน
RBA_S,RATCHABURI 1,RATCHABURI 1,สถานีไฟฟ้า,สถานีไฟฟ้าราชบุรี 1,กฟส.ราชบุรี,CSCS/SCPS,ใช้งาน
RBBHV_S,RATCHABURI 2 (115 kV),RATCHABURI 2 (115 kV),สถานีไฟฟ้า,สถานีไฟฟ้าราชบุรี(ลานไก),กฟส.ราชบุรี,CSCS/SCPS,ใช้งาน
RBBMV_S,RATCHABURI 2,RATCHABURI 2,สถานีไฟฟ้า,สถานีไฟฟ้าราชบุรี 2,กฟส.ราชบุรี,CSCS/SCPS,ใช้งาน
RBC_S,RATCHABURI 3,RATCHABURI 3,สถานีไฟฟ้า,สถานีไฟฟ้าราชบุรี 3,กฟส.ราชบุรี,CSCS/SCPS,ใช้งาน
RBU_S,RATCHABURI 3 (TEMPORARY),RATCHABURI 3 (TEMPORARY),สถานีไฟฟ้า,สถานีไฟฟ้าราชบุรี 3 (ชั่วคราว),กฟส.ราชบุรี,CSCS/SCPS,ใช้งาน
RIU_S,RATCHABURI INDUSTRIAL ESTATE,RATCHABURI INDUSTRIAL ESTATE,สถานีไฟฟ้า,สถานีไฟฟ้านิคมอุตสาหกรรมราชบุรี (ชั่วคราว),กฟส.ราชบุรี,CSCS/SCPS,ใช้งาน
RNA_S,RANONG 1,RANONG 1,สถานีไฟฟ้า,สถานีไฟฟ้าระนอง 1,กฟส.ระนอง,CSCS/SCPS,ใช้งาน
RNB_S,RANONG 2,RANONG 2,สถานีไฟฟ้า,สถานีไฟฟ้าระนอง 2,กฟส.ระนอง,CSCS/SCPS,ใช้งาน
S1-AVR-0003,S1 FRTU,PTH04A-01,ระบบจำหน่าย,AVR สุสานสีตะศาลา,กฟส.ปากท่อ,FRTU-AVR,ใช้งาน
S1-AVR-0004,S1 FRTU,RBB08A-01,ระบบจำหน่าย,AVR ตรงข้ามบริษัท VCF ฟีดมิลด์,กฟส.ปากท่อ,FRTU-AVR,ใช้งาน
S1-AVR-0005,S1 FRTU,PBA06A-01,ระบบจำหน่าย,AVR หลังโครงการชั่งหัวมัน,กฟส.ท่ายาง,FRTU-AVR,ใช้งาน
S1-AVR-0006,S1 FRTU,HUU03A-01,ระบบจำหน่าย,"AVR หนองพลับ,ป่าเต็ง",กฟส.หัวหิน,FRTU-AVR,ใช้งาน
S1-AVR-0007,S1 FRTU,TSE05A-01,ระบบจำหน่าย,AVR นิดาคาร์แคร์,กฟส.ท่าแซะ,FRTU-AVR,ใช้งาน
S1-AVR-0008,S1 FRTU,LSA03A-01,ระบบจำหน่าย,AVR ไลน์พะโต๊ะ,กฟส.หลังสวน,FRTU-AVR,ใช้งาน
S1-AVR-0009,S1 FRTU,LSA09A-01,ระบบจำหน่าย,AVR เขาชะมด,กฟส.หลังสวน,FRTU-AVR,ใช้งาน
S1-AVR-0010,S1 FRTU,LSA10A-01,ระบบจำหน่าย,AVR ละแมฟาร์มกุ้ง,กฟส.หลังสวน,FRTU-AVR,ใช้งาน
S1-AVR-0011,S1 FRTU,CPA08A-01,ระบบจำหน่าย,AVR บ้านปากจั่น,กฟส.ชุมพร,FRTU-AVR,ใช้งาน
S1-AVR-0012,S1 FRTU,XPA04A-01,ระบบจำหน่าย,AVR บ้านคา,กฟส.สวนผึ้ง,FRTU-AVR,ใช้งาน
S1-AVR-0013,S1 FRTU,XPA01A-01,ระบบจำหน่าย,AVR ห้วยหนึ่ง ผาปก,กฟส.สวนผึ้ง,FRTU-AVR,ใช้งาน
S1-CSW-0001,S1 FRTU,PBA01YB-01,ระบบสายส่ง,Circuit Switcher สถานีไฟฟ้าเพชรบุรี1,กฟส.เพชรบุรี,FRTU-CircuitSwitcher115kV,ใช้งาน
S1-CUS-0001,S1 CUS S1 RMU,US1 ตลาดสดเทศบาลฯ จ.ระนอง,ระบบจำหน่าย,Ranong Unit Substation 1,กฟส.ระนอง,FRTU-Unit Substation,ใช้งาน
S1-CUS-0002,S1 CUS S1 RMU,US2 ตลาดสดเทศบาลฯ จ.ระนอง,ระบบจำหน่าย,Ranong Unit Substation 2,กฟส.ระนอง,FRTU-Unit Substation,ใช้งาน
S1-CUS-0003,S1 CUS S1 RMU,US3 สำนักงานพระพุทธ จ.ระนอง,ระบบจำหน่าย,Ranong Unit Substation 3,กฟส.ระนอง,FRTU-Unit Substation,ใช้งาน
S1-LBS-0001,S1 FRTU,RBB02YS-20,ระบบสายส่ง,สวนมะม่วงโชคอนันต์,กฟส.จอมบึง,FRTU-LoadBreakSwitch115kV,ใช้งาน
S1-LBS-0002,S1 FRTU,RBB05YS-05,ระบบสายส่ง,แยกหนองชุมพล,กฟส.เขาย้อย,FRTU-LoadBreakSwitch115kV,ใช้งาน
S1-LBS-0003,S1 FRTU,KHY04YS-07,ระบบสายส่ง,หนองปรง,กฟส.เพชรบุรี,FRTU-LoadBreakSwitch115kV,ใช้งาน
S1-LBS-0004,S1 FRTU,RBB04YS-05,ระบบสายส่ง,หน้า สฟฟ.รบ.2 หมู่บ้านนิรันดร์,กฟส.ราชบุรี,FRTU-LoadBreakSwitch115kV,ใช้งาน
S1-LBS-0005,S1 FRTU,PTR03YS-06,ระบบสายส่ง,ดอนกระเบื้อง,กฟส.โพธาราม,FRTU-LoadBreakSwitch115kV,ใช้งาน
S1-LBS-0006,S1 FRTU,BSP03YS-09,ระบบสายส่ง,ปั้มบางจาก,กฟส.บางสะพาน,FRTU-LoadBreakSwitch115kV,ใช้งาน
S1-LBS-0007,S1 FRTU,BSP03YS-08,ระบบสายส่ง,ทางรถไฟ วัดห้วยทรายขาว,กฟส.บางสะพาน,FRTU-LoadBreakSwitch115kV,ใช้งาน
S1-LBS-0008,S1 FRTU,BSP02YS-10,ระบบสายส่ง,แยกท่าเรือ,กฟส.บางสะพาน,FRTU-LoadBreakSwitch115kV,ใช้งาน
S1-LBS-0009,S1 FRTU,BSP01YS-07,ระบบสายส่ง,ตรงข้ามวัดท่ามะนาว,กฟส.บางสะพาน,FRTU-LoadBreakSwitch115kV,ใช้งาน
S1-LBS-0010,S1 FRTU,BSP02YS-08,ระบบสายส่ง,หน้าวัดท่ามะนาว,กฟส.บางสะพาน,FRTU-LoadBreakSwitch115kV,ใช้งาน
S1-LBS-0011,S1 FRTU,RBB02YS-10,ระบบสายส่ง,เจ็ดเสมียน,กฟส.โพธาราม,FRTU-LoadBreakSwitch115kV,ใช้งาน
S1-LBS-0012,S1 FRTU,TSE03YS-05,ระบบสายส่ง,ศรีตรังโกลล์,กฟส.ท่าแซะ,FRTU-LoadBreakSwitch115kV,ใช้งาน
S1-LBS-0013,S1 FRTU,TSE03YS-08,ระบบสายส่ง,ศรีตรังโกลล์,กฟส.ท่าแซะ,FRTU-LoadBreakSwitch115kV,ใช้งาน
S1-LBS-0014,S1 FRTU,RBB03YS-06,ระบบสายส่ง,หน้าโรงเรียนไทยรัฐวิทยา 64,กฟส.ปากท่อ,FRTU-LoadBreakSwitch115kV,ใช้งาน
S1-LBS-0015,S1 FRTU,CAB04YS-07,ระบบสายส่ง,หน้าสถานีไฟฟ้าหัวหิน 4 ชั่วคราว,กฟส.หัวหิน,FRTU-LoadBreakSwitch115kV,ใช้งาน
S1-LBS-0016,S1 FRTU,HUB02YS-07,ระบบสายส่ง,หน้าสถานีไฟฟ้าหัวหิน 3,กฟส.หัวหิน,FRTU-LoadBreakSwitch115kV,ใช้งาน
S1-LBS-0017,S1 FRTU,CPB02YS-03,ระบบสายส่ง,หน้าสถานีไฟฟ้าชุมพร 2,กฟส.ชุมพร,FRTU-LoadBreakSwitch115kV,ใช้งาน
S1-LBS-0018,S1 FRTU,RBB03YS-07,ระบบสายส่ง,หน้าสถานีไฟฟ้าปากท่อ,กฟส.ปากท่อ,FRTU-LoadBreakSwitch115kV,ใช้งาน
S1-LBS-0019,S1 FRTU,PTR07YS-04,ระบบสายส่ง,บริษัท จีเอสเอนเจอร์จี,กฟส.โพธาราม,FRTU-LoadBreakSwitch115kV,ใช้งาน
S1-LBS-0020,S1 FRTU,RBB05YS-15,ระบบสายส่ง,หน้าสถานีไฟฟ้าเขาย้อย 2,กฟส.เขาย้อย,FRTU-LoadBreakSwitch115kV,ใช้งาน
S1-LBS-0021,S1 FRTU,PTH04YS-05,ระบบสายส่ง,ตรงข้ามเกรท,กฟส.ปากท่อ,FRTU-LoadBreakSwitch115kV,ใช้งาน
S1-LBS-0022,S1 FRTU,BPB05YS-04,ระบบสายส่ง,-,กฟส.บ้านโป่ง,FRTU-LoadBreakSwitch115kV,ใช้งาน
S1-LBS-0023,S1 FRTU,BPB01YS-04,ระบบสายส่ง,-,กฟส.บ้านโป่ง,FRTU-LoadBreakSwitch115kV,ใช้งาน
S1-LBS-0024,S1 FRTU,BPB05YS-07,ระบบสายส่ง,-,กฟส.บ้านโป่ง,FRTU-LoadBreakSwitch115kV,ใช้งาน
S1-RCS-0001,S1 FRTU,BSP10S-19,ระบบจำหน่าย,ท่ามะนาว,กฟส.บางสะพาน,FRTU-RCS,ใช้งาน
S1-RCS-0002,S1 FRTU,BSR06S-09,ระบบจำหน่าย,หน้าธนาคารกรุงเทพ,กฟส.บางสะพาน,FRTU-RCS,ใช้งาน
S1-RCS-0003,S1 FRTU,HUB05S-51,ระบบจำหน่าย,หน้าสนามบินหัวหิน,กฟส.หัวหิน,FRTU-RCS,ใช้งาน
S1-RCS-0004,S1 FRTU,BSP09S-09,ระบบจำหน่าย,หน้ากฟอ.บางสะพาน,กฟส.บางสะพาน,FRTU-RCS,ใช้งาน
S1-RCS-0005,S1 FRTU,BSR07S-08,ระบบจำหน่าย,แยกท่าม่วง,กฟส.บางสะพาน,FRTU-RCS,ใช้งาน
S1-RCS-0006,S1 FRTU,BSP09S-15,ระบบจำหน่าย,แยกบางสะพานน้อย,กฟส.บางสะพาน,FRTU-RCS,ใช้งาน
S1-RCS-0007,S1 FRTU,CBN04S-28,ระบบจำหน่าย,เขาสน,กฟส.จอมบึง,FRTU-RCS,ใช้งาน
S1-RCS-0008,S1 FRTU,TSE02S-27,ระบบจำหน่าย,เขาไชยราช,กฟส.ท่าแซะ,FRTU-RCS,ใช้งาน
S1-RCS-0009,S1 FRTU,TSE09S-11,ระบบจำหน่าย,ท่าข้าม,กฟส.ท่าแซะ,FRTU-RCS,ใช้งาน
S1-RCS-0010,S1 FRTU,CAB04S-08,ระบบจำหน่าย,แยกชูกมล,กฟส.ชะอำ,FRTU-RCS,ใช้งาน
S1-RCS-0011,S1 FRTU,CAB10S-14,ระบบจำหน่าย,ทางลงชายทะเลชะอำ,กฟส.ชะอำ,FRTU-RCS,ใช้งาน
S1-RCS-0012,S1 FRTU,CAA06S-07,ระบบจำหน่าย,ร่องระกำ,กฟส.ชะอำ,FRTU-RCS,ใช้งาน
S1-RCS-0013,S1 FRTU,CAA03S-13,ระบบจำหน่าย,สระพระ ฝั่งตะวันออก,กฟส.ชะอำ,FRTU-RCS,ใช้งาน
S1-RCS-0014,S1 FRTU,CAA03S-10,ระบบจำหน่าย,ร่องระกำ,กฟส.ชะอำ,FRTU-RCS,ใช้งาน
S1-RCS-0015,S1 FRTU,CAB09S-10,ระบบจำหน่าย,บ่อแขม(วงจรล่าง),กฟส.ชะอำ,FRTU-RCS,ใช้งาน
S1-RCS-0016,S1 FRTU,CAA03S-05,ระบบจำหน่าย,นิคมชะอำ,กฟส.ชะอำ,FRTU-RCS,ใช้งาน
S1-RCS-0017,S1 FRTU,CAB10S-12,ระบบจำหน่าย,บ่อแขมวงจร บน,กฟส.ชะอำ,FRTU-RCS,ใช้งาน
S1-RCS-0018,S1 FRTU,CAB04S-05,ระบบจำหน่าย,ก่อนถึงโรงแรมเชอราตัน,กฟส.ชะอำ,FRTU-RCS,ใช้งาน
S1-RCS-0019,S1 FRTU,HUB09S-06,ระบบจำหน่าย,หน้าแกรนด์,กฟส.หัวหิน,FRTU-RCS,ใช้งาน
S1-RCS-0020,S1 FRTU,HUB06S-03,ระบบจำหน่าย,ปากทางเข้าไร่เนิน,กฟส.หัวหิน,FRTU-RCS,ใช้งาน
S1-RCS-0021,S1 FRTU,PBB04S-04,ระบบจำหน่าย,คุ้งกระพง,กฟส.เพชรบุรี,FRTU-RCS,ใช้งาน
S1-RCS-0022,S1 FRTU,CAB05S-12,ระบบจำหน่าย,บ.บ่อแขม(ฝั่งตะวันตก),กฟส.ชะอำ,FRTU-RCS,ใช้งาน
S1-RCS-0023,S1 FRTU,CAA06S-05,ระบบจำหน่าย,หน้าร้านอะไหล่,กฟส.ชะอำ,FRTU-RCS,ใช้งาน
S1-RCS-0024,S1 FRTU,CPB07S-10,ระบบจำหน่าย,หน้า กฟต.ปากน้ำชุมพร,กฟส.ปากน้ำชุมพร,FRTU-RCS,ใช้งาน
S1-RCS-0025,S1 FRTU,CPA03S-05,ระบบจำหน่าย,แยกหมอเล็ก,กฟส.ชุมพร,FRTU-RCS,ใช้งาน
S1-RCS-0026,S1 FRTU,RNB08S-16,ระบบจำหน่าย,ปากซอย 7,กฟส.ระนอง,FRTU-RCS,ใช้งาน
S1-RCS-0027,S1 FRTU,RNB07S-16,ระบบจำหน่าย,ปากซอย 7,กฟส.ระนอง,FRTU-RCS,ใช้งาน
S1-RCS-0028,S1 FRTU,TSE08S-04,ระบบจำหน่าย,โตโยต้า,กฟส.ท่าแซะ,FRTU-RCS,ใช้งาน
S1-RCS-0029,S1 FRTU,TSE07S-13,ระบบจำหน่าย,ร้านพี่นาง,กฟส.ท่าแซะ,FRTU-RCS,ใช้งาน
S1-RCS-0030,S1 FRTU,TSE07S-11,ระบบจำหน่าย,ร้านพี่นาง,กฟส.ท่าแซะ,FRTU-RCS,ใช้งาน
S1-RCS-0031,S1 FRTU,RIU01S-04,ระบบจำหน่าย,ปากทางเข้านิคมฯ,กฟส.โพธาราม,FRTU-RCS,ใช้งาน
S1-RCS-0032,S1 FRTU,CAA07S-07,ระบบจำหน่าย,กม.7 บายพาส,กฟส.ชะอำ,FRTU-RCS,ใช้งาน
S1-RCS-0033,S1 FRTU,CPA01S-10,ระบบจำหน่าย,โรงน้ำแข็งนันทผล,กฟส.ชุมพร,FRTU-RCS,ใช้งาน
S1-RCS-0034,S1 FRTU,TSE05S-06,ระบบจำหน่าย,ตรงโรงขิง,กฟส.ท่าแซะ,FRTU-RCS,ใช้งาน
S1-RCS-0035,S1 FRTU,TSE08S-10,ระบบจำหน่าย,บริษัทโดล,กฟส.ท่าแซะ,FRTU-RCS,ใช้งาน
S1-RCS-0036,S1 FRTU,CPB07S-06,ระบบจำหน่าย,หนองเรือแตก,กฟส.ชุมพร,FRTU-RCS,ใช้งาน
S1-RCS-0037,S1 FRTU,CPB10S-08,ระบบจำหน่าย,แซบอีสาน,กฟส.ชุมพร,FRTU-RCS,ใช้งาน
S1-RCS-0038,S1 FRTU,CPB08S-07,ระบบจำหน่าย,ตลาดบ้านบน,กฟส.ปากน้ำชุมพร,FRTU-RCS,ใช้งาน
S1-RCS-0039,S1 FRTU,CPB06S-09,ระบบจำหน่าย,ศูนย์วิทยุประมงชุมพร,กฟส.ปากน้ำชุมพร,FRTU-RCS,ใช้งาน
S1-RCS-0040,S1 FRTU,DNA07S-09,ระบบจำหน่าย,หน้าวัดคริสต์,กฟส.ดำเนินสะดวก,FRTU-RCS,ใช้งาน
S1-RCS-0041,S1 FRTU,DNA07S-10,ระบบจำหน่าย,หน้า EGAT,กฟส.ดำเนินสะดวก,FRTU-RCS,ใช้งาน
S1-RCS-0042,S1 FRTU,DNA02S-12,ระบบจำหน่าย,ดอนคลัง,กฟส.บางแพ,FRTU-RCS,ใช้งาน
S1-RCS-0043,S1 FRTU,DNA02S-17,ระบบจำหน่าย,สี่แยกบางแพ,กฟส.บางแพ,FRTU-RCS,ใช้งาน
S1-RCS-0044,S1 FRTU,DNA01S-10,ระบบจำหน่าย,หน้าร้านอุดมค้าไม้,กฟส.บางแพ,FRTU-RCS,ใช้งาน
S1-RCS-0045,S1 FRTU,CAB10S-04,ระบบจำหน่าย,บางควาย,กฟส.ชะอำ,FRTU-RCS,ใช้งาน
S1-RCS-0046,S1 FRTU,HUB05S-03,ระบบจำหน่าย,หม่อนไหม,กฟส.หัวหิน,FRTU-RCS,ใช้งาน
S1-RCS-0047,S1 FRTU,HUB04S-10,ระบบจำหน่าย,หอนาฬิกา (วงจรล่าง),กฟส.หัวหิน,FRTU-RCS,ใช้งาน
S1-RCS-0048,S1 FRTU,CAB05S-08,ระบบจำหน่าย,ตรงข้าม รร.ดุสิต,กฟส.ชะอำ,FRTU-RCS,ใช้งาน
S1-RCS-0049,S1 FRTU,HUB05S-04,ระบบจำหน่าย,รร.พาณิชย์,กฟส.หัวหิน,FRTU-RCS,ใช้งาน
S1-RCS-0050,S1 FRTU,CAA04S-11,ระบบจำหน่าย,พวงเพ็ญ,กฟส.หัวหิน,FRTU-RCS,ใช้งาน
S1-RCS-0051,S1 FRTU,KDA01S-20,ระบบจำหน่าย,บ.ห้วยเสือ,กฟส.ท่ายาง,FRTU-RCS,ใช้งาน
S1-RCS-0052,S1 FRTU,KHY10S-03,ระบบจำหน่าย,หน้านันยาง,กฟส.เขาย้อย,FRTU-RCS,ใช้งาน
S1-RCS-0053,S1 FRTU,KHY09S-12,ระบบจำหน่าย,ก่อนถึง เอส อา สปรินนิ่ง,กฟส.เขาย้อย,FRTU-RCS,ใช้งาน
S1-RCS-0054,S1 FRTU,KHY10S-08,ระบบจำหน่าย,BK house,กฟส.เขาย้อย,FRTU-RCS,ใช้งาน
S1-RCS-0055,S1 FRTU,KHZ01S-10,ระบบจำหน่าย,อีซูซุ,กฟส.เขาย้อย,FRTU-RCS,ใช้งาน
S1-RCS-0056,S1 FRTU,KHY08S-04,ระบบจำหน่าย,หนองปลาไหล,กฟส.เขาย้อย,FRTU-RCS,ใช้งาน
S1-RCS-0057,S1 FRTU,KHY02S-14,ระบบจำหน่าย,บริษัท fly-now,กฟส.เขาย้อย,FRTU-RCS,ใช้งาน
S1-RCS-0058,S1 FRTU,CPA08S-09,ระบบจำหน่าย,ป่าไม้ชุมพร,กฟส.ชุมพร,FRTU-RCS,ใช้งาน
S1-RCS-0059,S1 FRTU,HUB02S-10,ระบบจำหน่าย,บริษัทโดล,กฟส.ท่าแซะ,FRTU-RCS,ใช้งาน
S1-RCS-0060,S1 FRTU,TSE06S-16,ระบบจำหน่าย,บ้านไชยราช,กฟส.ท่าแซะ,FRTU-RCS,ใช้งาน
S1-RCS-0061,S1 FRTU,TSE02S-18,ระบบจำหน่าย,ชุมชนมาบอำมฤต,กฟส.ท่าแซะ,FRTU-RCS,ใช้งาน
S1-RCS-0062,S1 FRTU,PTR06S-15,ระบบจำหน่าย,ฟาร์มเป็ดท่ามะขาม,กฟส.โพธาราม,FRTU-RCS,ใช้งาน
S1-RCS-0063,S1 FRTU,HUB08S-06,ระบบจำหน่าย,หน้าแหลมทอง,กฟส.หัวหิน,FRTU-RCS,ใช้งาน
S1-RCS-0064,S1 FRTU,PTR06S-08,ระบบจำหน่าย,ปากทางเข้านิคมฯ,กฟส.โพธาราม,FRTU-RCS,ใช้งาน
S1-RCS-0065,S1 FRTU,RIU02S-05,ระบบจำหน่าย,นิคมฯราชบุรี,กฟส.โพธาราม,FRTU-RCS,ใช้งาน
S1-RCS-0066,S1 FRTU,CAB04S-07,ระบบจำหน่าย,หน้า รร.ดุสิต,กฟส.ชะอำ,FRTU-RCS,ใช้งาน
S1-RCS-0067,S1 FRTU,CAB04S-10,ระบบจำหน่าย,หลังสนามบินบ่อฝ้าย,กฟส.ชะอำ,FRTU-RCS,ใช้งาน
S1-RCS-0068,S1 FRTU,PBA07S-14,ระบบจำหน่าย,สะพานดำ,กฟส.เพชรบุรี,FRTU-RCS,ใช้งาน
S1-RCS-0069,S1 FRTU,PBB02S-06,ระบบจำหน่าย,กฟต.1,กฟส.เพชรบุรี,FRTU-RCS,ใช้งาน
S1-RCS-0070,S1 FRTU,PBB02S-14,ระบบจำหน่าย,บ่อลาว,กฟส.เพชรบุรี,FRTU-RCS,ใช้งาน
S1-RCS-0071,S1 FRTU,PBA11S-09,ระบบจำหน่าย,วัดป่าแป้น,กฟส.บ้านลาด,FRTU-RCS,ใช้งาน
S1-RCS-0072,S1 FRTU,PBA10S-11,ระบบจำหน่าย,วัดถ้ำรงค์,กฟส.บ้านลาด,FRTU-RCS,ใช้งาน
S1-RCS-0073,S1 FRTU,PBA06S-22,ระบบจำหน่าย,โค้งท่าพุ่ง,กฟส.ท่ายาง,FRTU-RCS,ใช้งาน
S1-RCS-0074,S1 FRTU,CAA06S-08,ระบบจำหน่าย,บ้านสระพระ,กฟส.ท่ายาง,FRTU-RCS,ใช้งาน
S1-RCS-0075,S1 FRTU,PBA09S-18,ระบบจำหน่าย,อู่ท่ายางเคาะพ่นสี,กฟส.ท่ายาง,FRTU-RCS,ใช้งาน
S1-RCS-0076,S1 FRTU,PBA01S-17,ระบบจำหน่าย,ร้านตายุ่ง,กฟส.เพชรบุรี,FRTU-RCS,ใช้งาน
S1-RCS-0077,S1 FRTU,PBA07S-22,ระบบจำหน่าย,โค้งตาคั่น,กฟส.เพชรบุรี,FRTU-RCS,ใช้งาน
S1-RCS-0078,S1 FRTU,PTR03S-16,ระบบจำหน่าย,หน้า ตรอ.,กฟส.โพธาราม,FRTU-RCS,ใช้งาน
